RELA,Coarse-Grained Relation Label
abnormal_cell_affected_by_chemical_or_drug,targets#inverse
abnormality_associated_with_allele,causes#inverse
access_device_used_by,uses#inverse
access_instrument_of,uses#inverse
access_of,uses#inverse
active_ingredient_of,has_ingredient#inverse
active_metabolites_of,is_metabolized_into#inverse
active_moiety_of,has_ingredient#inverse
activity_of_allele,performs#inverse
actual_outcome_of,misc.
add_on_code_for,misc.
adheres_to,is_physically_connected_with
adjacent_to,is_spatially_adjacent_to
adjustment_of,misc.
afferent_to,is_physically_connected_with
alias_of,misc.
allele_absent_from_wild-type_chromosomal_location,occurs_in#negative
allele_has_abnormality,causes
allele_has_activity,performs
allele_in_chromosomal_location,occurs_in
allele_plays_altered_role_in_process,regulates
allele_plays_role_in_metabolism_of_chemical_or_drug,is_metabolized_by#inverse
allelic_variant_of,has_variant#inverse
alternative_of,misc.
analyzed_by,investigates#inverse
analyzes,investigates
anatomic_structure_has_location,occurs_in
anatomic_structure_is_physical_part_of,has_part#inverse
anatomical_entity_observed_in,occurs_during#inverse
anatomy_originated_from_biological_process,causes#inverse
answer_to,misc.
anterior_to,is_spatially_adjacent_to
approach_of,uses#inverse
approach_of_excluded,uses#negative#inverse
approach_of_possibly_included,uses#inverse
arterial_supply_of,is_physically_connected_with
articulates_with,is_physically_connected_with
associated_disease,is_associated_with
associated_etiologic_finding_of,causes
associated_finding_of,misc.
associated_finding_of_excluded,misc.
associated_finding_of_possibly_included,misc.
associated_function_of,misc.
associated_genetic_condition,is_associated_with
associated_morphology_of,has_property#inverse
associated_procedure_of,misc.
associated_procedure_of_excluded,misc.
associated_procedure_of_possibly_included,misc.
associated_with,misc.
associated_with_malfunction_of_gene_product,is_associated_with
attaches_to,is_physically_connected_with
biological_process_has_associated_location,occurs_in
biological_process_has_initiator_chemical_or_drug,regulates#inverse
biological_process_has_initiator_process,regulates#inverse
biological_process_has_result_anatomy,causes
biological_process_has_result_biological_process,causes
biological_process_has_result_chemical_or_drug,causes
biological_process_involves_chemical_or_drug,regulates#inverse
biological_process_involves_gene_product,regulates#inverse
biological_process_is_part_of_process,has_part#inverse
biological_process_results_from_biological_process,causes#inverse
biomarker_type_includes_gene,misc.
biomarker_type_includes_gene_product,misc.
bounded_by,is_physically_connected_with
bounds,is_physically_connected_with
branch_of,is_physically_connected_with
british_form_of,misc.
causative_agent_of,causes
cause_of,causes
cell_type_is_associated_with_eo_disease,is_associated_with#inverse
cell_type_or_tissue_affected_by_chemical_or_drug,targets#inverse
challenge_of,misc.
characterized_by,has_property
characterizes,has_property#inverse
chemical_or_drug_affects_abnormal_cell,targets
chemical_or_drug_affects_cell_type_or_tissue,targets
chemical_or_drug_affects_gene_product,targets
chemical_or_drug_has_mechanism_of_action,has_property
chemical_or_drug_has_physiologic_effect,causes
chemical_or_drug_initiates_biological_process,regulates
chemical_or_drug_is_metabolized_by_enzyme,is_metabolized_by
chemical_or_drug_is_product_of_biological_process,causes#inverse
chemical_or_drug_metabolism_is_associated_with_allele,is_metabolized_by
chemical_or_drug_plays_role_in_biological_process,regulates
chemical_structure_of,has_property#inverse
chemotherapy_regimen_has_component,has_part
chromosomal_location_of_allele,occurs_in#inverse
chromosomal_location_of_wild-type_gene,occurs_in#inverse
chromosome_involved_in_cytogenetic_abnormality,regulates
chromosome_mapped_to_disease,is_associated_with#inverse
class_code_classified_by,misc.
class_of,misc.
classified_as,is_classified_as
classifies,is_classified_as#inverse
classifies_class_code,misc.
clinical_course_of,misc.
clinician_form_of,misc.
common_name_of,misc.
completely_excised_anatomy_has_procedure,targets#inverse
completely_excised_anatomy_may_have_procedure,targets#inverse
complex_has_physical_part,has_part
component_of,has_part#inverse
component_of_excluded,has_part#negative#inverse
component_of_possibly_included,has_part#inverse
concept_in_subset,misc.
conceptual_part_of,has_part#inverse
connected_to,is_physically_connected_with
connection_type_of,physically_interconnects
consider,misc.
consider_from,misc.
consists_of,has_ingredient
constitutes,has_ingredient#inverse
constitutional_part_of,has_part#inverse
consumer_friendly_form_of,misc.
contained_in,has_part#inverse
contains,has_part
context_binding_of,misc.
continuation_branch_of,is_physically_connected_with
continuous_distally_with,is_spatially_adjacent_to
continuous_proximally_with,is_physically_connected_with
continuous_with,is_physically_connected_with
contraindicated_with_disease,is_contraindicated_for
contraindicating_class_of,is_contraindicated_combination_with#inverse
contraindicating_mechanism_of_action_of,is_contraindicated_combination_with#inverse
contraindicating_physiologic_effect_of,is_contraindicated_for#inverse
count_of,misc.
course_of,misc.
cytogenetic_abnormality_involves_chromosome,regulates#inverse
data_element_of,misc.
defining_characteristic_of,has_property#inverse
definitional_manifestation_of,has_property#inverse
dependent_of,misc.
derives,causes
derives_from,causes#inverse
development_type_of,causes
developmental_stage_of,occurs_during#inverse
develops_from,causes#inverse
device_used_by,uses#inverse
diagnostic_criteria_of,has_property#inverse
direct_anterior_to,is_spatially_adjacent_to
direct_anteroinferior_to,is_spatially_adjacent_to
direct_anterolateral_to,is_spatially_adjacent_to
direct_anteromedial_to,is_spatially_adjacent_to
direct_anterosuperior_to,is_spatially_adjacent_to
direct_cell_shape_of,misc.
direct_constitution_part_of,has_part#inverse
direct_continuous_with,is_physically_connected_with
direct_device_of,uses#inverse
direct_distal_to,is_spatially_adjacent_to
direct_inferior_to,is_spatially_adjacent_to
direct_inferolateral_to,is_spatially_adjacent_to
direct_inferomedial_to,is_spatially_adjacent_to
direct_lateral_to,is_spatially_adjacent_to
direct_left_of,is_spatially_adjacent_to
direct_medial_to,is_spatially_adjacent_to
direct_morphology_of,treats#inverse
direct_part_of,has_part#inverse
direct_posterior_to,is_spatially_adjacent_to
direct_posteroinferior_to,is_spatially_adjacent_to
direct_posterolateral_to,is_spatially_adjacent_to
direct_posteromedial_to,is_spatially_adjacent_to
direct_posterosuperior_to,is_spatially_adjacent_to
direct_procedure_site_of,targets#inverse
direct_proximal_to,is_spatially_adjacent_to
direct_regional_part_of,has_part#inverse
direct_right_of,is_spatially_adjacent_to
direct_site_of,is_investigated_using#inverse
direct_substance_of,uses#inverse
direct_superior_to,is_spatially_adjacent_to
direct_superolateral_to,is_spatially_adjacent_to
direct_superomedial_to,is_spatially_adjacent_to
disease_excludes_abnormal_cell,is_associated_with#negative
disease_excludes_cytogenetic_abnormality,is_associated_with#negative
disease_excludes_finding,has_property#negative
disease_excludes_molecular_abnormality,is_associated_with#negative
disease_excludes_normal_cell_origin,causes#negative#inverse
disease_excludes_normal_tissue_origin,causes#negative#inverse
disease_excludes_primary_anatomic_site,occurs_in#negative
disease_has_abnormal_cell,is_associated_with
disease_has_accepted_treatment_with_regimen,treats#inverse
disease_has_associated_anatomic_site,occurs_in
disease_has_associated_disease,is_associated_with
disease_has_associated_gene,is_associated_with
disease_has_cytogenetic_abnormality,is_associated_with
disease_has_finding,has_property
disease_has_metastatic_anatomic_site,occurs_in
disease_has_molecular_abnormality,is_associated_with
disease_has_normal_cell_origin,causes#inverse
disease_has_normal_tissue_origin,causes#inverse
disease_has_primary_anatomic_site,occurs_in
disease_is_grade,misc.
disease_is_marked_by_gene,indicates#inverse
disease_is_stage,misc.
disease_mapped_to_chromosome,is_associated_with
disease_mapped_to_gene,is_associated_with
disease_may_have_abnormal_cell,is_associated_with
disease_may_have_associated_disease,is_associated_with
disease_may_have_cytogenetic_abnormality,is_associated_with
disease_may_have_finding,has_property
disease_may_have_molecular_abnormality,is_associated_with
disease_may_have_normal_cell_origin,causes#inverse
distal_to,is_spatially_adjacent_to
divisor_of,misc.
do_not_code_with,misc.
dose_form_of,has_property#inverse
doseformgroup_of,has_property#inverse
drains_into,is_physically_connected_with
due_to,causes#inverse
effect_may_be_inhibited_by,inhibits_effect_of#inverse
efferent_to,is_physically_connected_with
endogenous_product_related_to,misc.
ends_during,occurs_during
energy_used_by,uses#inverse
entry_combination_of,misc.
entry_version_of,misc.
enzyme_metabolizes_chemical_or_drug,is_metabolized_by#inverse
eo_anatomy_is_associated_with_eo_disease,is_associated_with#inverse
eo_disease_has_associated_cell_type,is_associated_with
eo_disease_has_associated_eo_anatomy,is_associated_with
eo_disease_has_property_or_attribute,misc.
eo_disease_maps_to_human_disease,misc.
episodicity_of,misc.
evaluation_of,misc.
excised_anatomy_has_procedure,targets#inverse
excised_anatomy_may_have_procedure,targets#inverse
