Entity Type,Pretty Name,Definition
Organism,Organism,"Generally, a living individual, including all plants and animals."
Plant,Plant,"An organism having cellulose cell walls, growing by synthesis of inorganic substances, generally distinguished by the presence of chlorophyll, and lacking the power of locomotion. Plant parts are included here as well."
Fungus,Fungus,"A eukaryotic organism characterized by the absence of chlorophyll and the presence of a rigid cell wall. Included here are both slime molds and true fungi such as yeasts, molds, mildews, and mushrooms."
Virus,Virus,An organism consisting of a core of a single nucleic acid enclosed in a protective coat of protein. A virus may replicate only inside a host living cell. A virus exhibits some but not all of the usual characteristics of living things.
Bacterium,Bacterium,"A small, typically one-celled, prokaryotic micro-organism."
Animal,Animal,"An organism with eukaryotic cells, and lacking stiff cell walls, plastids and photosynthetic pigments."
Vertebrate,Vertebrate,An animal which has a spinal column.
Amphibian,Amphibian,"A cold-blooded, smooth-skinned vertebrate which characteristically hatches as an aquatic larva, breathing by gills. When mature, the amphibian breathes with lungs."
Bird,Bird,A vertebrate having a constant body temperature and characterized by the presence of feathers.
Fish,Fish,"A cold-blooded aquatic vertebrate characterized by fins and breathing by gills. Included here are fishes having either a bony skeleton, such as a perch, or a cartilaginous skeleton, such as a shark, or those lacking a jaw, such as a lamprey or hagfish."
Reptile,Reptile,A cold-blooded vertebrate having an external covering of scales or horny plates. Reptiles breathe by means of lungs and are generally egg-laying.
Mammal,Mammal,"A vertebrate having a constant body temperature and characterized by the presence of hair, mammary glands and sweat glands."
Human,Human,"Modern man, the only remaining species of the Homo genus."
Anatomical Structure,Anatomical Structure,A normal or pathological part of the anatomy or structural organization of an organism.
Embryonic Structure,Embryonic Structure,"An anatomical structure that exists only before the organism is fully formed; in mammals, for example, a structure that exists only prior to the birth of the organism. This structure may be normal or abnormal."
Congenital Abnormality,Congenital Abnormality,"An abnormal structure, or one that is abnormal in size or location, present at birth or evolving over time as a result of a defect in embryogenesis."
Acquired Abnormality,Acquired Abnormality,"An abnormal structure, or one that is abnormal in size or location, found in or deriving from a previously normal structure. Acquired abnormalities are distinguished from diseases even though they may result in pathological functioning (e.g., ""hernias incarcerate"")."
Fully Formed Anatomical Structure,Fully Formed Anatomical Structure,"An anatomical structure in a fully formed organism; in mammals, for example, a structure in the body after the birth of the organism."
Body System,Body System,A complex of anatomical structures that performs a common function.
"Body Part, Organ, or Organ Component","Body Part, Organ, or Organ Component",A collection of cells and tissues which are localized to a specific area or combine and carry out one or more specialized functions of an organism. This ranges from gross structures to small components of complex organs. These structures are relatively localized in comparison to tissues.
Tissue,Tissue,"An aggregation of similarly specialized cells and the associated intercellular substance. Tissues are relatively non-localized in comparison to body parts, organs or organ components."
Cell,Cell,The fundamental structural and functional unit of living organisms.
Cell Component,Cell Component,"A part of a cell or the intercellular matrix, generally visible by light microscopy."
Gene or Genome,Gene or Genome,"A specific sequence, or in the case of the genome the complete sequence, of nucleotides along a molecule of DNA or RNA (in the case of some viruses) which represent the functional units of heredity."
Body Location or Region,Body Location or Region,"An area, subdivision, or region of the body demarcated for the purpose of topographical description."
Body Space or Junction,Body Space or Junction,An area enclosed or surrounded by body parts or organs or the place where two anatomical structures meet or connect.
Body Substance,Body Substance,"Extracellular material, or mixtures of cells and extracellular material, produced, excreted, or accreted by the body. Included here are substances such as saliva, dental enamel, sweat, and gastric acid."
Organism Attribute,Organism Attribute,A property of the organism or its major parts.
Finding,Finding,"That which is discovered by direct observation or measurement of an organism attribute or condition, including the clinical history of the patient. The history of the presence of a disease is a 'Finding' and is distinguished from the disease itself."
Laboratory or Test Result,Laboratory or Test Result,"The outcome of a specific test to measure an attribute or to determine the presence, absence, or degree of a condition."
Injury or Poisoning,Injury or Poisoning,"A traumatic wound, injury, or poisoning caused by an external agent or force."
Biologic Function,Biologic Function,"A state, activity or process of the body or one of its systems or parts."
Physiologic Function,Physiologic Function,"A normal process, activity, or state of the body."
Organism Function,Organism Function,"A physiologic function of the organism as a whole, of multiple organ systems, or of multiple organs or tissues."
Mental Process,Mental Process,A physiologic function involving the mind or cognitive processing.
Organ or Tissue Function,Organ or Tissue Function,"A physiologic function of a particular organ, organ system, or tissue."
Cell Function,Cell Function,A physiologic function inherent to cells or cell components.
Molecular Function,Molecular Function,A physiologic function occurring at the molecular level.
Genetic Function,Genetic Function,"Functions of or related to the maintenance, translation or expression of the genetic material."
