Relation,Pretty Name,Definition
P6,head of government,"head of the executive power of this town, city, municipality, state, country, or other governmental body"
P17,country,sovereign state that this item is in (not to be used for human beings)
P19,place of birth,"most specific known birth location of a person, animal or fictional character"
P20,place of death,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character"
P22,father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)"
P25,mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)"
P26,spouse,"the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions"
P27,country of citizenship,the object is a country that recognizes the subject as its citizen
P30,continent,continent of which the subject is a part
P31,instance of,that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)
P35,head of state,official with the highest formal authority in a country/state
P36,capital,"seat of government of a country, province, state or other type of administrative territorial entity"
P37,official language,language designated as official by this item
P39,position held,subject currently or formerly holds the object position or public office
P40,child,"subject has object as child. Do not use for stepchildren?use ""relative"" (P1038), qualified with ""type of kinship"" (P1039)"
P50,author,"main creator(s) of a written work (use on works, not humans); use P2093 (author name string) when Wikidata item is unknown or does not exist"
P54,member of sports team,sports teams or clubs that the subject represents or represented
P57,director,"director(s) of film, TV-series, stageplay, video game or similar"
P58,screenwriter,person(s) who wrote the script for subject item
P69,educated at,educational institution attended by subject
P86,composer,"person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]"
P102,member of political party,the political party of which a person is or has been a member or otherwise affiliated
P108,employer,person or organization for which the subject works or worked
P112,founded by,"founder or co-founder of this organization, religion, place or entity"
P118,league,"league or competition in which team or player has played, or in which an event occurs"
P123,publisher,"organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software"
P127,owned by,owner of the subject
P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity.
P136,genre,creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic
P137,operator,"person, profession, organization or entity that operates the equipment, facility, or service"
P140,religion,"religion of a person, organization or religious building, or associated with this subject"
P150,contains administrative territorial entity,(list of) direct subdivisions of an administrative territorial entity
P155,follows,"immediately prior item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has replaced the preceding item, e.g. political offices, use ""replaces"" (P1365)]"
P156,followed by,"immediately following item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]"
P159,headquarters location,city or town where an organization's headquarters is or has been situated. Use P276 qualifier for specific building
P161,cast member,"actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role] - [use ""recorded participant"" (P11108) for non-fiction productions]"
P162,producer,"person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]"
P166,award received,"award or recognition received by a person, organization or creative work"
P170,creator,maker of this creative work or other object (where no more specific property exists)
P171,parent taxon,closest parent taxon of the taxon in question
P172,ethnic group,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themselves, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)"
P175,performer,"actor, musician, band or other performer associated with this role or musical work"
P176,manufacturer,(main or final) manufacturer or producer of this product
P178,developer,organization or person that developed the item
P179,series,series which contains the subject
P190,sister city,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments"
P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council"
P205,basin country,country that have drainage to/from or border the body of water
P206,located in or next to body of water,body of water on or next to which a place is located
P241,military branch,"branch to which this military unit, award, office, or person belongs, e.g. Royal Navy"
P264,record label,brand and trademark associated with the marketing of subject music recordings and music videos
P272,production company,"company that produced this film, audio or performing arts work"
P276,location,"location of the object, structure or event. In the case of an administrative entity as containing item use P131. For statistical entities use P8138. In the case of a geographic entity use P706. Use P7153 for locations associated with the object"
